ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
608_0,-7.106034044228629,106.6435995311586,Sukabumi,702,7,326,192,2.2413793103448825,6,-7.0,61.33870792388916,548.9441814422607,3759.702625975013,0.6074886,0.09022035,0.287593,-0.056547925,-9999.0,10,1,0,0,0.7,1,Low,0,2026-04-19 10:08:07
609_0,-7.216257329590086,106.64494700408483,Sukabumi,438,5,307,192,0.13793103448273314,5,-7.0,64.85570287704468,646.442768573761,3777.1936738193035,0.6133949,0.18541805,0.44473046,-0.1381952,-9999.0,10,1,0,0,0.6000000000000001,1,Low,0,2026-04-19 10:08:07
610_0,-6.887473935602351,106.74358202228115,Sukabumi,480,8,27,169,6.482758620689651,9,-42.0,49.14964723587036,381.28825330734253,3116.63085257262,0.4292327,0.0010956471,0.15105702,0.054585576,-9999.0,10,1,0,0,0.65,1,Low,0,2026-04-19 10:08:07
611_0,-7.237816896408965,106.77888581294701,Sukabumi,449,9,307,204,1.2758620689655231,8,-4.0,61.031532287597656,545.0373468399048,3810.562069863081,0.81785065,0.29552567,0.6166018,-0.26149243,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
612_0,-7.349118160111367,106.48756216630704,Sukabumi,32,8,159,172,6.482758620689655,8,-22.0,44.490583419799805,584.0765905380249,3282.9160363078117,0.6871205,0.22681986,0.5226328,-0.17651488,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
613_0,-7.007399026032296,106.78185025338462,Sukabumi,209,2,27,177,-5.482758620689651,3,13.0,52.89391231536865,415.85791397094727,3605.1781547516584,0.3221957,0.23705028,0.5074627,-0.09925094,-9999.0,60,0,0,0,0.7500000000000001,1,Low,0,2026-04-19 10:08:07
614_0,-6.953769603570372,106.52071000029105,Sukabumi,189,7,286,201,3.827586206896541,7,-17.0,69.9830846786499,645.2980451583862,4113.146141245961,0.74049956,0.17796496,0.46582884,-0.14812163,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
615_0,-7.315161842371644,106.48163328543188,Sukabumi,102,4,270,192,-1.2068965517241423,5,3.0,44.490583419799805,584.0765905380249,3282.9160363078117,0.50762993,0.0785358,0.2964625,-0.02339173,-9999.0,40,0,1,0,0.4,1,Low,0,2026-04-19 10:08:07
616_0,-6.907416534909807,106.76325512700333,Sukabumi,445,14,255,223,-1.3448275862069181,15,6.0,43.993106842041016,383.4265933036804,2852.5603273510933,0.7835161,0.24498197,0.5689119,-0.22164652,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
617_0,-6.772399747706636,106.53364574038238,Sukabumi,1316,31,158,145,-8.896551724137908,35,32.0,72.67234516143799,523.863579750061,4382.153276748955,0.8367254,0.30275038,0.60766184,-0.27980402,-9999.0,10,1,0,0,2.05,3,High,0,2026-04-19 10:08:07
618_0,-7.107920506325279,106.72741234716699,Sukabumi,510,10,202,192,3.793103448275872,8,0.0,53.78501653671265,490.80336141586304,3559.5578130334616,0.8013526,0.29800665,0.6107446,-0.2712629,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 10:08:07
619_0,-7.128402094803199,106.83224574082374,Sukabumi,445,10,244,209,-6.655172413793082,10,21.0,57.39053535461426,462.5576181411743,3635.395965963602,0.6023034,0.23637566,0.48707584,-0.13880949,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
620_0,-7.044319784209613,106.76648906202615,Sukabumi,351,11,81,146,1.3103448275862206,12,-4.0,52.89391231536865,415.85791397094727,3605.1781547516584,0.84594387,0.28600994,0.6069167,-0.26331756,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
621_0,-6.829532599776634,106.99016956777194,Sukabumi,1564,45,266,255,-17.517241379310235,62,102.0,72.60056209564209,533.4877281188965,4187.951737731695,0.7946346,0.3907972,0.66796356,-0.35426235,-9999.0,10,1,0,0,2.1999999999999997,3,High,0,2026-04-19 10:08:07
622_0,-6.874268700925789,106.72363942297369,Sukabumi,465,10,27,166,2.137931034482733,10,-15.0,49.14964723587036,381.28825330734253,3116.63085257262,0.83690685,0.2902643,0.6259205,-0.2609457,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
623_0,-7.245901733966029,106.85542227515401,Sukabumi,653,12,222,206,9.448275862068954,11,-33.0,57.08001232147217,501.5579209327698,3577.696618422866,0.8186247,0.33742556,0.634311,-0.30817333,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
624_0,-7.233235488459947,106.4301598196518,Sukabumi,163,13,332,200,-4.206896551724128,13,18.0,62.79343271255493,656.6984395980835,3539.7467606067657,0.7616755,0.28076258,0.5803786,-0.23641497,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
625_0,-7.286864910921885,106.88102426075142,Sukabumi,278,15,140,149,3.8275862068965694,15,-22.0,59.5482873916626,498.66877937316895,3411.7212854623795,0.7912268,0.29376054,0.59761065,-0.2647366,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
626_0,-6.9694002895140486,106.82955079497134,Sukabumi,375,10,319,201,4.0,11,-15.0,59.34194469451904,463.7789001464844,3716.1169233694673,0.69646937,0.25359085,0.5154034,-0.20702931,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
627_0,-6.93706093928575,107.01846649922169,Sukabumi,577,3,303,189,0.8965517241379075,2,0.0,62.62728452682495,472.5345950126648,3852.0829632878304,0.60423785,0.16728292,0.3514359,-0.10341964,-9999.0,10,1,0,0,0.6000000000000001,1,Low,0,2026-04-19 10:08:07
628_0,-7.236199928897541,106.4083307582477,Sukabumi,153,12,161,169,-1.7241379310344769,12,7.0,62.79343271255493,656.6984395980835,3539.7467606067657,0.8094375,0.31166977,0.6191174,-0.28144208,-9999.0,10,1,0,0,1.4000000000000001,2,Moderate,0,2026-04-19 10:08:07
629_0,-6.77940660692277,106.52636938658105,Sukabumi,1342,13,188,186,-14.379310344827672,14,4.0,72.67234516143799,523.863579750061,4382.153276748955,0.8279848,0.2969967,0.5949858,-0.27242815,-9999.0,10,1,0,0,1.9000000000000001,3,High,0,2026-04-19 10:08:07
630_0,-7.241589820602265,106.67647787055739,Sukabumi,401,14,161,166,0.10344827586209249,15,1.0,58.25139856338501,599.2032647132874,3753.8845151662827,0.77309096,0.2907579,0.56035185,-0.2543873,-9999.0,10,1,0,0,1.4000000000000001,2,Moderate,0,2026-04-19 10:08:07
